@relation TWS-3D-v3.3.2-grayscale

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
2,2,0,2,0,1.95122,0.128749,1.961809,0.11524,'class 1'
2,2,0,1.923077,0.076923,1.934959,0.094096,1.972864,0.123005,'class 1'
2,1.8,0.2,1.923077,0.076923,1.918699,0.10809,1.971859,0.115908,'class 1'
2,1.6,0.3,1.846154,0.141026,1.97561,0.089564,1.977889,0.120235,'class 1'
2,2,0,1.923077,0.24359,1.99187,0.073704,1.98191,0.118385,'class 1'
2,2,0,2,0,1.99187,0.073704,1.980905,0.119353,'class 1'
2,2,0,2,0,1.99187,0.073704,1.986935,0.12156,'class 1'
2,2.2,0.2,2,0.166667,2.01626,0.098094,1.988945,0.125632,'class 1'
2,1.8,0.2,2.076923,0.24359,1.98374,0.130881,1.982915,0.127474,'class 1'
1,2,0.5,2,0.166667,1.97561,0.171531,1.976884,0.129244,'class 1'
2,1.8,0.2,1.769231,0.192308,1.926829,0.15034,1.965829,0.137664,'class 1'
2,2,0,1.923077,0.076923,1.886179,0.18366,1.969849,0.139935,'class 1'
2,2,0,1.846154,0.141026,1.869919,0.146875,1.960804,0.150374,'class 1'
2,1.8,0.2,1.769231,0.192308,1.861789,0.136479,1.953769,0.136694,'class 1'
2,2,0,1.769231,0.192308,1.861789,0.136479,1.963819,0.143559,'class 1'
2,1.8,0.2,1.923077,0.076923,1.869919,0.130481,1.957789,0.135037,'class 1'
2,2,0,1.923077,0.076923,1.861789,0.152872,1.968844,0.126795,'class 1'
2,1.8,0.2,1.923077,0.076923,1.894309,0.128082,1.957789,0.118941,'class 1'
2,2,0,1.846154,0.141026,1.878049,0.140744,1.962814,0.120346,'class 1'
2,1.8,0.2,2,0.166667,1.894309,0.144476,1.965829,0.121568,'class 1'
2,2,0,2.076923,0.076923,1.918699,0.124484,1.961809,0.129325,'class 1'
2,2.2,0.2,2,0.166667,1.95935,0.137678,1.958794,0.126067,'class 1'
2,1.8,0.2,2,0.166667,1.98374,0.098094,1.959799,0.131179,'class 1'
1,1.8,0.2,2,0.166667,1.96748,0.130081,1.964824,0.140613,'class 1'
2,2.2,0.2,2.076923,0.24359,1.96748,0.162868,1.982915,0.137535,'class 1'
2,2,0.5,1.923077,0.410256,1.99187,0.172065,1.978894,0.139393,'class 1'
2,2,0,2,0.166667,2.01626,0.196455,1.98392,0.136562,'class 1'
2,2.2,0.2,2.153846,0.141026,2,0.229508,1.970854,0.149049,'class 1'
2,2.2,0.2,2.076923,0.24359,2.00813,0.204851,1.9799,0.148489,'class 1'
2,2,0,2,0,1.99187,0.188458,1.978894,0.157502,'class 1'
2,2,0,1.923077,0.076923,1.99187,0.122884,1.98392,0.152659,'class 1'
2,1.8,0.2,1.923077,0.076923,1.98374,0.114488,1.982915,0.143571,'class 1'
2,2,0,1.923077,0.076923,2.00813,0.155671,1.974874,0.141219,'class 1'
2,2.2,0.2,2.076923,0.076923,2,0.180328,1.975879,0.136239,'class 1'
3,2.2,0.2,2.153846,0.141026,1.95935,0.186859,1.971859,0.12798,'class 1'
2,2,0,2,0.166667,1.96748,0.162868,1.98392,0.130526,'class 1'
2,1.8,0.2,1.846154,0.141026,1.96748,0.179262,1.98593,0.120526,'class 1'
1,1.8,0.2,1.923077,0.076923,1.943089,0.168866,1.98794,0.124603,'class 1'
2,1.8,0.2,1.923077,0.24359,1.95122,0.128749,1.98794,0.124603,'class 1'
2,2,0,1.923077,0.076923,1.95122,0.128749,1.982915,0.125462,'class 1'
2,2,0,1.923077,0.076923,1.95122,0.112355,1.976884,0.119183,'class 1'
2,1.8,0.2,1.769231,0.192308,1.95122,0.095962,1.975879,0.116118,'class 1'
2,2,0,1.846154,0.141026,1.943089,0.086899,1.972864,0.110933,'class 1'
2,1.8,0.2,1.923077,0.24359,1.97561,0.122351,1.970854,0.114844,'class 1'
2,2.2,0.2,1.923077,0.24359,1.95122,0.145142,1.980905,0.115329,'class 1'
2,2,0,2.153846,0.141026,1.943089,0.168866,1.986935,0.115523,'class 1'
2,2.2,0.2,2.076923,0.076923,1.926829,0.166733,1.984925,0.113455,'class 1'
2,2,0,2.076923,0.076923,1.97561,0.155138,1.988945,0.119596,'class 1'
2,2,0,2.076923,0.076923,1.97561,0.122351,1.99799,0.12072,'class 1'
2,2,0,2,0,2.00813,0.106491,2.00201,0.118708,'class 1'
2,2,0,2,0,2.01626,0.114488,2.00603,0.126724,'class 1'
2,2,0,2,0,1.99187,0.05731,2.00603,0.124712,'class 1'
2,1.8,0.2,1.923077,0.076923,1.97561,0.089564,2.00804,0.12066,'class 1'
2,2,0,1.923077,0.076923,1.99187,0.073704,2.00402,0.118696,'class 1'
2,2,0,2.076923,0.076923,1.96748,0.080901,2.00804,0.116635,'class 1'
2,2,0,2,0,1.97561,0.089564,2.009045,0.1136,'class 1'
2,2,0,2,0,1.98374,0.081701,2.01206,0.110518,'class 1'
2,1.8,0.2,1.846154,0.307692,2.162602,0.268426,2.311558,0.484323,'class 1'
2,1.8,0.2,1.846154,0.307692,2.121951,0.271891,2.268342,0.452065,'class 1'
1,1.6,0.3,1.769231,0.192308,2.097561,0.252699,2.251256,0.435801,'class 1'
2,1.6,0.3,1.769231,0.192308,2.097561,0.203519,2.228141,0.389549,'class 1'
1,1.6,0.3,1.769231,0.358974,2.138211,0.251233,2.294472,0.479597,'class 1'
2,1.8,0.7,1.846154,0.307692,2.186992,0.300813,2.253266,0.39052,'class 1'
3,2.2,0.2,1.923077,0.24359,2.130081,0.310809,2.219095,0.344303,'class 1'
2,2.2,0.2,2.230769,0.192308,2.081301,0.255631,2.18995,0.312977,'class 1'
2,2.2,0.2,2.153846,0.307692,2.154472,0.328402,2.239196,0.365263,'class 1'
3,2.2,0.2,2,0.166667,2.130081,0.310809,2.209045,0.332514,'class 1'
2,2,0.5,2.076923,0.24359,2.105691,0.242836,2.18794,0.301665,'class 1'
2,2.2,0.2,2.076923,0.410256,2.065041,0.192456,2.167839,0.274619,'class 1'
2,1.8,0.2,2,0.166667,2.105691,0.242836,2.198995,0.30845,'class 1'
2,2.2,0.2,2.076923,0.410256,2.04065,0.203252,2.170854,0.278627,'class 1'
2,2,0.5,2.076923,0.24359,2.04878,0.210716,2.148744,0.253507,'class 1'
2,2.2,0.2,2.153846,0.141026,2.121951,0.271891,2.18392,0.291089,'class 1'
2,2,0,2.076923,0.076923,2.081301,0.288418,2.179899,0.274445,'class 1'
2,2,0,2.230769,0.358974,2.121951,0.304678,2.233166,0.339945,'class 1'
2,2.4,0.8,2.307692,0.564103,2.097561,0.285486,2.226131,0.324065,'class 1'
4,2.8,1.2,2.230769,0.692308,2.097561,0.252699,2.2201,0.336819,'class 1'
2,1.8,0.2,2.230769,0.525641,2.097561,0.252699,2.271357,0.411201,'class 1'
2,2.2,0.2,1.923077,0.24359,2.097561,0.252699,2.256281,0.406085,'class 1'
1,1.8,0.2,1.923077,0.076923,2.170732,0.257497,2.318593,0.529181,'class 1'
2,1.8,0.2,2.076923,0.24359,2.170732,0.257497,2.307538,0.514983,'class 1'
2,2.2,0.2,2.153846,0.141026,2.154472,0.279222,2.38995,0.670724,'class 1'
3,2.2,0.7,2.076923,0.410256,2.243902,0.333467,2.512563,1.026754,'class 1'
1,2,1,2.076923,0.576923,2.227642,0.292017,2.463317,0.850514,'class 1'
